image_id,class,tissue,dice,sensitivity,specificity,hd95,alpha_mae,fp_fraction
MDB133,NORM,F,,,1.0,,0.042038027197122574,0.0
MDB134,MISC,F,0.860160666468313,0.7683720930232558,0.9881066064762566,15.275789878880357,0.16558332741260529,
MDB141,CIRC,F,0.7312941176470589,0.5910992772917459,0.9903942652329749,10.770329614269007,0.1587432622909546,
MDB142,CIRC,F,0.8884329315209027,0.8165959453088166,0.9927479110830837,8.012451549659708,0.10564392805099487,
MDB144,MISC,F,0.8359530661943768,0.7181437809052872,1.0,7.615773105863909,0.13705196976661682,
MDB145,SPIC,D,0.7530035628469633,0.6038538205980066,1.0,16.054543530560323,0.20820778608322144,
MDB147,NORM,F,,,1.0,,0.06370232254266739,0.0
MDB148,SPIC,F,0.8949774805513853,0.9654233224317247,0.6797235427228235,31.539453169627137,0.285046249628067,
MDB149,NORM,F,,,1.0,,0.05882034823298454,0.0
MDB153,NORM,F,,,1.0,,0.05074467882514,0.0
MDB156,NORM,F,,,1.0,,0.041096314787864685,0.0
MDB157,NORM,F,,,1.0,,0.053300950676202774,0.0
MDB162,NORM,D,,,1.0,,0.07036944478750229,0.0
MDB175,SPIC,G,0.8132395815469045,0.6955118803168084,0.9934840935224224,11.687581462308014,0.15593767166137695,
MDB177,NORM,G,,,1.0,,0.07262653857469559,0.0
MDB178,SPIC,G,0.7604703291517558,0.6289598646978469,0.9781984113571066,23.412424396065234,0.24429507553577423,
MDB179,SPIC,D,0.8290686618990534,0.7125701698287501,0.9944454730605443,21.526709493547187,0.230726420879364,
MDB181,SPIC,G,0.79417194092827,0.6586112629852379,1.0,19.318371911983945,0.20900818705558777,
MDB184,SPIC,F,0.7520319624258506,0.6044664525776481,0.9973090148004186,39.824615503479755,0.23375724256038666,
MDB186,SPIC,G,0.7339749409842019,0.5840196503395463,0.9953783416402356,16.64331697709324,0.201447993516922,
MDB188,SPIC,G,0.773045934916815,0.6324800958822019,0.9969099773398338,21.840329667841555,0.2270238995552063,
MDB190,SPIC,G,0.6995937566816335,0.5451516161279574,0.9945967850871268,13.703311226985461,0.1646617352962494,
MDB191,SPIC,G,0.8364669873196328,0.727238167648736,0.9936610204717864,10.198039027185569,0.17464679479599,
MDB192,NORM,G,,,1.0,,0.04399925097823143,0.0
MDB193,SPIC,D,0.8638370975725752,0.8136507414111495,0.9383822324998795,38.0,0.23659533262252808,
MDB195,SPIC,F,0.7950589556428973,0.6676096181046676,0.9960586473277628,9.0,0.13583165407180786,
MDB198,SPIC,D,0.8521556256572029,0.7463621293055811,0.9952388770316861,23.706539182259394,0.23249533772468567,
MDB199,SPIC,D,0.8490638135269393,0.7404198600466512,0.9985141158989599,9.0,0.13215872645378113,
MDB200,NORM,D,,,1.0,,0.07060052454471588,0.0
MDB201,NORM,D,,,1.0,,0.04650307446718216,0.0
MDB202,SPIC,D,0.8720525705450328,0.7882599580712788,0.9903481558083419,12.529964086141668,0.14573512971401215,
MDB204,SPIC,F,0.8387869114126097,0.7654770575382375,0.9846757615398991,6.3003760413329,0.1166464164853096,
MDB206,SPIC,F,0.8434504792332268,0.732519422863485,0.9991256830601093,4.218733674818958,0.104998879134655,
MDB207,SPIC,D,0.8343558282208589,0.7227635075287865,0.9977800201816347,6.4946481459528,0.1249881386756897,
MDB225,NORM,D,,,1.0,,0.07403755187988281,0.0
MDB230,NORM,F,,,1.0,,0.06445212662220001,0.0
MDB235,NORM,D,,,1.0,,0.05192464590072632,0.0
MDB244,CIRC,D,0.8411520392183564,0.726962457337884,0.9989378217174606,14.0,0.19373683631420135,
MDB250,NORM,D,,,1.0,,0.07202963531017303,0.0
MDB251,NORM,F,,,1.0,,0.05634516477584839,0.0
MDB260,NORM,D,,,1.0,,0.06160012260079384,0.0
MDB261,NORM,D,,,1.0,,0.055808208882808685,0.0
MDB264,MISC,G,0.8054298642533937,0.6807303232173698,0.9954069014250383,11.0,0.16389304399490356,
MDB265,MISC,G,0.7957102302596993,0.6703871024891487,0.9884704073789393,20.499953557536372,0.22224193811416626,
MDB267,MISC,F,0.8109500419312328,0.6875571356018283,0.9939663624707745,18.027756377319946,0.19361017644405365,
MDB270,CIRC,G,0.8607922613168023,0.7780309094267595,0.973740125306456,20.223748416156685,0.23665231466293335,
MDB271,MISC,F,0.8577891951995705,0.7711823509134781,0.9763220205209155,15.0,0.19304990768432617,
MDB272,NORM,F,,,1.0,,0.039583053439855576,0.0
MDB274,MISC,F,0.842584588411479,0.7286932715594399,0.9991424150338373,29.074039292459744,0.23365792632102966,
MDB276,NORM,G,,,1.0,,0.04821662977337837,0.0
MDB278,NORM,G,,,1.0,,0.051946643739938736,0.0
MDB279,NORM,G,,,1.0,,0.05307678133249283,0.0
MDB282,NORM,D,,,1.0,,0.07893814891576767,0.0
MDB283,NORM,D,,,1.0,,0.07822462916374207,0.0
MDB289,NORM,D,,,1.0,,0.0658506378531456,0.0
MDB290,CIRC,D,0.8602226541791836,0.7652884766546141,0.9915551760129044,17.72004514666935,0.15033721923828125,
MDB297,NORM,F,,,1.0,,0.041393719613552094,0.0
MDB302,NORM,F,,,1.0,,0.06473522633314133,0.0
MDB306,NORM,F,,,1.0,,0.04208700731396675,0.0
MDB309,NORM,F,,,1.0,,0.04458938166499138,0.0
MDB312,MISC,F,0.9312297734627831,0.9156722354813047,0.987555901224966,3.0,0.10500083863735199,
MDB314,MISC,F,0.7722950398355178,0.6290558928197614,1.0,14.04264068711928,0.18082551658153534,
MDB315,CIRC,D,0.8392082543693409,0.7340946767360471,0.9862748317189296,23.900698302900498,0.22885559499263763,
MDB318,NORM,D,,,1.0,,0.07519148290157318,0.0
MDB320,NORM,D,,,1.0,,0.05585794523358345,0.0
MDB321,NORM,D,,,1.0,,0.07262244820594788,0.0
